"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4f0796c0c7d26c2962000c43","3LAU","","Heartbeats Yeah","183","","","","",""
"5120507f9f81f31ed7d6aa1f","Mike Posner","31 Minutes to Takeoff","Please Don't Go","197","USJAY1000077","J Records","False","spotify:track:6jg5SRvdGxvJ0DzNV0UqEK","884977677065"
"4ed7a6af99968e3cc10083d9","KDrew","Free Volume 2  ","One","231","","","","",""
"4e37803399968e56a8006360","Madeon","","Pop Culture","199","","","","",""
"51218c089f81f31ed7f6846e","Karmin","Hello","Hello","237","USSM11202263","Epic","False","spotify:track:7jO1boY6qwRjeu0EBtvDuu","886443396043"
"4ff8bcf8cf683a3c52001fe1","Ricky Cervantes","Never Let You Go - Single","Never Let You Go","284","","","","",""
"4f1267e3c7d26c2956003d66","We Are Scientists","","Ghouls (Tha New Team Remix)","254","","","","",""
"4f4a201fc7d26c4ae4005682","DJ Earworm","","United State of Pop 2008 (Viva La Pop) - Mashup of Top 25 Billboard Hits","278","","","","",""
"4ed6f6cd99968e3cb900809d","Awesome","Leda's fall '08 CD!","Will Power","308","","","","",""
"4f517495c7d26c4ad30074fb","Electrode","Pneumonoultramicroscopicsilicovolcanoconiosis","Pneumonoultramicroscopicsilicovolcanoconiosis","284","","","","",""
"4e7a7db699968e31ef004a95","Chase and Status vs Schoolhouse Rock","Chase and Status vs Schoolhouse Rock","I'm Just A Bill","228","","","","",""
"4fac6fcbcf683a78df000744","Madeon","","Pop Culture (Live Mashup)","200","","","","",""
"5120510a9f81f31ed7d6ba2e","Big & Rich","Greatest Hits","Save A Horse (Ride A Cowboy)","200","USWB10302758","Warner Bros./Nashville","False","spotify:track:7ngLY64yLCFIRaybpIYKJz","093624975717"
"5120523c9f81f31ed7d6e45a","3OH!3","WANT","DONTTRUSTME","193","USAT20802554","Photo Finish Records ADA Distributed","True","spotify:track:4H1ZiD0aytFHoOiosVmT1w","075679991454"
"512050b59f81f31ed7d6afff","Kanye West","My Beautiful Dark Twisted Fantasy","POWER","292","USUM71018220","Roc-a-Fella Records","True","spotify:track:2RUFzxyUlI36KKy9Agkqze","00602527474465"
"4ea4a8da99968e1eae00538b","Kris Kross","","Jump (TBMA Remix)","283","","","","",""
"50efeb24cf683a34b2f75f0f","ytcracker x skrillex x damian marley ","","make it pwn dem","213","","","","",""
"51002faccf683a52b9e77681","PatrickReza","","The Veronicas - Lolita Remix","238","","","","",""
"50ff5542cf683a52c611d8f6","At Dawn We Rage","http://www.atdawnwerage.com","Breathe With Me","215","","","","",""
"50ff5b35cf683a52c01dd88b","AT DAWN WE RAGE/KYLE WE CAME AS ROMANS","","VIENNA AUSTRIA","283","","","","",""
"512066f89f81f31ed7d9a797","Technoboy","Technoboy Selection, Vol. 1","Catfight","314","ITC941001114","The Saifam Group Digital","False","spotify:track:7g8PJDYV5vGY81JzHAlfrR","8032484056886"
"4f0a46d9c7d26c294700135c","Bruneaux.","Pure Magic","Takin' The Game","313","","","","",""
"51002e36cf683a52c611e518","PatrickReza","PatrickReza Remixes","Lana Del Rey - Blue Jeans Remix","213","","","","",""
"50ff739acf683a52b9e76d6f","At Dawn We Rage","http://www.atdawnwerage.com","The Fall","201","","","","spotify:track:5jVaNnUBaXi7Rk7zuBWnD0",""
"511c5410cf683a583b5ae7df","Dicepticon","","toothache","220","","","","",""
"50b7ccefcf683a1d10c4ec22","The Early Mourning","We Are EP","More Than You Were (Five Finger Death Punch v. Seven Lions)","230","","","","",""
"51002e28cf683a52ad75cf45","PatrickReza","PatrickReza Remixes","Ellie Goulding - High For This Remix","238","","","","",""
"511c528acf683a583ede830c","ishe x ytcracker","","binary battleground (demo v1)","185","","","","",""
"5102f136cf683a28dde58a47","Bruneaux","","Alive In Technicolor","233","","","","",""
"511c5145cf683a584bd51f1b","Chuckie vs Knife Party & Porter Robinson","Thissongissick.com","Who Is Ready To Jump (Revolvr Bootleg)","320","","","","",""
"511d4d68cf683a5838e7c123","Ellie Goulding","","Anything Could Happen (Flinch Remix)","270","","","","spotify:track:4Mw5nL0L1yGRBOHh1H0sF2",""
"51205bbd9f81f31ed7d83174","Big Sean (feat. Chris Brown)","My Last","My Last (Edited Version)","255","USUM71101897","Def Jam Records","False","spotify:track:6Uj0DygqlzJqduyny4lMA6","00602527661162"
"512050d29f81f31ed7d6b378","Kanye West (feat. Jamie Foxx)","Late Registration","Gold Digger","208","USUM70500143","Roc-A-Fella","True","spotify:track:5XJJdNPkwmbUwE79gv0NxK","00602498824016"
"512058a69f81f31ed7d7c637","Owl City","Ocean Eyes","The Tip Of The Iceberg","203","USUM70972069","Motown","False","spotify:track:3ODc04KFeInCwWzwX1BcES","00602527151564"
"527ceea79f81f349b193568f","Imagine Dragons","Night Visions","On Top Of The World","190","USUM71201073","Kid Ina Korner / Interscope","False","spotify:track:213x4gsFDm04hSqIUkg88w","00602537126835"
"4e48ab3799968e4818005c5d","T-Pain","Follow @TPAIN on twitter","Booty Work (prod. by YoungFyre)","236","","","","",""
"527ceea79f81f349b193568c","Imagine Dragons","Night Visions","Demons","176","USUM71201071","Kid Ina Korner / Interscope","False","spotify:track:3LlAyCYU26dvFZBDUIMb7a","00602537126835"
"516448db9f81f35464c24fd9","New Boyz","Too Cool To Care","Better With The Lights Off (feat. Chris Brown)","219","USWB11101137","Warner Bros.","True","spotify:track:3wCSVS7KM9CIIHrChpabQ3","093624956082"
"4e7b400499968e2e2d0000d7","David Guetta","Nothing But the Beat","Crank It Up","193","","","","spotify:track:4PQA5I8Qf99He3SBKtl4Tf",""
